Timeslice,Hour,Month,Daysplit,Demand fuel,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region,Tech,renewable ninjafile
,,,,EL3_339_0,,,,,,,,,,,
,,,,EL3_340_0,,,,,,,,,,,
,,,,EL3_341_0,,,,,,,,,,,
,,,,EL3_341_1,,,,,,,,,,,
,,,,EL3_342_0,,,,,,,,,,,
,,,,EL3_342_1,,,,,,,,,,,
,,,,EL3_343_0,,,,,,,,,,,
,,,,EL3_343_1,,,,,,,,,,,
,,,,EL3_344_0,,,,,,,,,,,
,,,,EL3_344_1,,,,,,,,,,,
,,,,EL3_345_0,,,,,,,,,,,
,,,,EL3_345_1,,,,,,,,,,,
,,,,EL3_346_0,,,,,,,,,,,
,,,,EL3_346_1,,,,,,,,,,,
,,,,EL3_347_0,,,,,,,,,,,
,,,,EL3_347_1,,,,,,,,,,,
,,,,EL3_349_0,,,,,,,,,,,
,,,,EL3_350_0,,,,,,,,,,,
,,,,EL3_351_0,,,,,,,,,,,
,,,,EL3_352_0,,,,,,,,,,,
,,,,EL3_352_1,,,,,,,,,,,
,,,,EL3_353_0,,,,,,,,,,,
,,,,EL3_353_1,,,,,,,,,,,
,,,,EL3_354_0,,,,,,,,,,,
,,,,EL3_354_1,,,,,,,,,,,
,,,,EL3_355_0,,,,,,,,,,,
,,,,EL3_355_1,,,,,,,,,,,
,,,,EL3_356_0,,,,,,,,,,,
,,,,EL3_357_0,,,,,,,,,,,
,,,,EL3_358_0,,,,,,,,,,,
,,,,EL3_358_1,,,,,,,,,,,
,,,,EL3_359_0,,,,,,,,,,,
,,,,EL3_359_1,,,,,,,,,,,
,,,,EL3_360_0,,,,,,,,,,,
,,,,EL3_360_1,,,,,,,,,,,
,,,,EL3_361_0,,,,,,,,,,,
,,,,EL3_361_1,,,,,,,,,,,
,,,,EL3_362_0,,,,,,,,,,,
,,,,EL3_362_1,,,,,,,,,,,
,,,,EL3_363_0,,,,,,,,,,,
,,,,EL3_363_1,,,,,,,,,,,
,,,,EL3_364_0,,,,,,,,,,,
,,,,EL3_364_1,,,,,,,,,,,
,,,,EL3_365_0,,,,,,,,,,,
,,,,EL3_365_1,,,,,,,,,,,
,,,,EL3_366_0,,,,,,,,,,,
,,,,EL3_366_1,,,,,,,,,,,
,,,,EL3_367_0,,,,,,,,,,,
,,,,EL3_367_1,,,,,,,,,,,
,,,,EL3_368_0,,,,,,,,,,,
,,,,EL3_368_1,,,,,,,,,,,
,,,,EL3_369_0,,,,,,,,,,,
,,,,EL3_369_1,,,,,,,,,,,
,,,,EL3_370_0,,,,,,,,,,,
,,,,EL3_370_1,,,,,,,,,,,
